request	Recommend list
가족과 함께 한식집 점심 나들이	['성심농장가든', '서울삼계탕', '제일회센타', '대가', '큰손짜장']
오랜만에 동창들과 고기집 회식	['어미정', '은혜갈비', '물꽁식당', '아자방', '할머니국밥집']
연인과 가기 좋은 레스토랑	['목포밴댕이', '홍화', '어미정', '새풍화식당', '황금나무숯불갈비']
맛집 혼밥 여행	['경남복국', '오감원 레스토랑', '감자꽃피는감자탕', '왕가옥', '어드메']
유기농 아이 간식	['옥필가', '남강식당', '원주특수통닭가좌점', '오감원 레스토랑', '한우포차식육식당']
아주 매운 쭈꾸미	['아리랑', '수정숯불갈비', '송화관', '청송', '아라숯불갈비']
날씨 추울 때 따뜻한 국물 요리	['아자방', '은혜갈비', '할머니국밥집', '대가', '서울삼계탕']
날씨 더울 때 시원한 면 요리	['수어지', '삼포복집', '뚱보화로불고기 칠암점', '석정한정식', '파스타부오노(거창점)']
일본식 덮밥	['옥포막썰이회해물', '판문점(팔용동)', '담소원', '유림산천식당', '아리산반점']
간단하게 먹기 좋은 컵밥	['홍화', '목포밴댕이', '주왕산삼계탕', '어미정', '파스타부오노(거창점)']
드라이브 맛집	['물꽁식당', '큰손짜장', '제일회센타', '대가', '성심농장가든']
풍경 좋은 맛집	['성심농장가든', '제일회센타', '큰손짜장', '대가', '물꽁식당']
가족과 함께 하는 맛집	['성심농장가든', '제일회센타', '대가', '큰손짜장', '서울삼계탕']
조용하고 아늑한 맛집	['물꽁식당', '큰손짜장', '대가', '제일회센타', '할머니국밥집']
건강하게 먹기 좋은 맛집	['성심농장가든', '제일회센타', '대가', '큰손짜장', '서울삼계탕']
떡볶이가 맛있는 분식 집	['감자꽃피는감자탕', '오감원 레스토랑', '경남복국', '조방낙지(양산)', '어드메']
이색 메뉴가 있는 곳	['제일회센타', '물꽁식당', '큰손짜장', '대가', '아자방']
신선한 해물탕	['지리산마천흑돼지', '송강민물매운탕', '진주냉면(상대동)', '풍년복집', '홍화']
정겹고 옛날 느낌 나는 맛집	['성심농장가든', '제일회센타', '큰손짜장', '서울삼계탕', '대가']
인심 좋고 양 많은 맛집	['할머니국밥집', '물꽁식당', '아자방', '은혜갈비', '큰손짜장']
