request	Recommend list
가족과 함께 한식집 점심 나들이	['성심농장가든', '천년의비빔밥', '대가', '소나무식당', '고래불해물찜']
오랜만에 동창들과 고기집 회식	['어미정', '장보고횟집', '아자방', '물꽁식당', '서울삼계탕']
연인과 가기 좋은 레스토랑	['장보고횟집', '어미정', '황금나무숯불갈비', '아자방', '석정한정식']
맛집 혼밥 여행	['경남복국', '오감원 레스토랑', '어드메', '진주명가장어구이', '수어지']
유기농 아이 간식	['남강식당', '원주특수통닭가좌점', '오감원 레스토랑', '수어지', '어드메']
아주 매운 쭈꾸미	['고궁', '미주뚝배기', '삼천포추어탕', '장원', '포크밸리로스트']
날씨 추울 때 따뜻한 국물 요리	['할머니국밥집', '서울삼계탕', '아자방', '지리산장당계곡식당', '대가']
날씨 더울 때 시원한 면 요리	['서울식육식당', '삼포복집', '목포밴댕이', '뚱보화로불고기 칠암점', '마당있는집(합성동)']
일본식 덮밥	['청풍갈비살', '한우포차식육식당', '황부자숯불갈비', '남양토담오리', '숯불한판석동점']
간단하게 먹기 좋은 컵밥	['목포밴댕이', '홍화', '삼포복집', '함흥면옥', '신가음정횟집']
드라이브 맛집	['물꽁식당', '대가', '제일회센타', '할머니국밥집', '수제갈비 창원중동점']
풍경 좋은 맛집	['천년의비빔밥', '대가', '제일회센타', '고래불해물찜', '성심농장가든']
가족과 함께 하는 맛집	['성심농장가든', '천년의비빔밥', '대가', '제일회센타', '고래불해물찜']
조용하고 아늑한 맛집	['물꽁식당', '할머니국밥집', '대가', '제일회센타', '새풍화식당']
건강하게 먹기 좋은 맛집	['대가', '성심농장가든', '천년의비빔밥', '제일회센타', '고래불해물찜']
떡볶이가 맛있는 분식 집	['담소원', '수어지', '어드메', '진주냉면(상대동)', '삼경한우촌']
이색 메뉴가 있는 곳	['천년의비빔밥', '할머니국밥집', '수제갈비 창원중동점', '제일회센타', '대가']
신선한 해물탕	['지리산마천흑돼지', '풍년복집', '감자꽃피는감자탕', '진송추어탕(양산)', '홍화']
정겹고 옛날 느낌 나는 맛집	['성심농장가든', '천년의비빔밥', '고래불해물찜', '소나무식당', '제일회센타']
인심 좋고 양 많은 맛집	['할머니국밥집', '지리산장당계곡식당', '물꽁식당', '새풍화식당', '어미정']
건강식 맛집	['물꽁식당', '대가', '할머니국밥집', '천년의비빔밥', '고래불해물찜']
골목맛집 투어 여행	['물꽁식당', '남다른감자탕', '장보고횟집', '석정한정식', '새풍화식당']
차타고 가기좋은 식당	['제일회센타', '대가', '천년의비빔밥', '물꽁식당', '할머니국밥집']
날씨좋은 날 나들이 맛집	['할머니국밥집', '물꽁식당', '천년의비빔밥', '대가', '지리산장당계곡식당']
어버이날 부모님	['대가', '물꽁식당', '할머니국밥집', '천년의비빔밥', '제일회센타']
육즙가득 고기집	['청풍갈비살', '숯불한판석동점', '보리네생고깃간(고현점)', '원산면옥', '한우포차식육식당']
가벼운 맥주와 어울리는 맛집	['대가', '소나무식당', '천년의비빔밥', '제일회센타', '할머니국밥집']
여름휴가때 가기좋은 식당	['목포밴댕이', '삼포복집', '신가음정횟집', '무교동낙지(용원점)', '영실한우프라자']
더운여름 몸보신 메뉴	['물꽁식당', '새풍화식당', '할머니국밥집', '남다른감자탕', '석정한정식']
인생 맛집	['홍화', '풍년복집', '파스타부오노(거창점)', '지리산마천흑돼지', '해훈식당']
바다 풍경이 예쁜 레스토랑	['유림산천식당', '용화찜', '자갈마당식당', '감나무집', '개성순대']
부모님과 함께 하기 위한 맛집 추천	['물꽁식당', '할머니국밥집', '대가', '큰손짜장', '지리산장당계곡식당']
아이가 좋아하는 갈비 맛집	['대가', '성심농장가든', '천년의비빔밥', '제일회센타', '고래불해물찜']
국물이 시원한 해물탕	['홍화', '함흥면옥', '목포밴댕이', '신가음정횟집', '무교동낙지(용원점)']
신선하고 가성비 좋은 횟집 추천	['목포밴댕이', '신가음정횟집', '홍화', '서울식육식당', '함흥면옥']
포장가능한 근처 낙지 맛집	['할머니국밥집', '고래불해물찜', '대가', '수제갈비 창원중동점', '천년의비빔밥']
푸짐한 매운탕	['수어지', '담소원', '섬진강식당', '섬진강식당', '어드메']
단체 모임하기 좋은 맛집 추천	['천년의비빔밥', '대가', '고래불해물찜', '수제갈비 창원중동점', '제일회센타']
해물이 푸짐한 식당	['지리산마천흑돼지', '홍화', '풍년복집', '파스타부오노(거창점)', '해훈식당']
특별한 날 기념하기 좋은 식당 추천	['아자방', '석정한정식', '새풍화식당', '장보고횟집', '남다른감자탕']
부모님 칠순잔치 하기 좋은 곳	['성심농장가든', '천년의비빔밥', '대가', '제일회센타', '고래불해물찜']
연인과 화해하기 좋은 식당 추천	['할머니국밥집', '수제갈비 창원중동점', '새풍화식당', '물꽁식당', '대가']
10년만의 동창회 모임하기 좋은 식당	['성심농장가든', '제일회센타', '천년의비빔밥', '대가', '고래불해물찜']
골프 라운딩 후 꼭 가야하는 음식 추천	['어미정', '석정한정식', '지리산장당계곡식당', '장보고횟집', '아자방']
직원들과 회식하기 좋은 식당	['성심농장가든', '제일회센타', '천년의비빔밥', '대가', '고래불해물찜']
죽기 전에 꼭 가야하는 국내 한식집	['대가', '할머니국밥집', '수제갈비 창원중동점', '제일회센타', '천년의비빔밥']
콜키지가 필요없는 식당 추천	['우포한우프라자', '해훈식당', '은혜갈비', '소반', '파스타부오노(거창점)']
반포 한강지구에서 꼭 시켜먹는 배달 맛집	['천년의비빔밥', '성심농장가든', '대가', '고래불해물찜', '소나무식당']
춘천 자전거 여행 시 꼭 들려야 하는 집	['제일회센타', '천년의비빔밥', '대가', '지리산장당계곡식당', '소나무식당']
간장 게장 맛집 추천	['할머니국밥집', '지리산장당계곡식당', '아자방', '큰손짜장', '새풍화식당']
